frame,score_dynamic,component_rarity,component_transition_surprise,component_local_density
159,41.9,93.89999999999999,25.3,54.50000000000001
160,46.0,46.0,34.9,84.5
161,46.0,35.9,36.8,30.599999999999998
162,42.5,36.0,81.8,75.1
163,39.6,39.6,39.6,68.89999999999999
164,39.6,39.4,42.5,68.0
165,39.6,94.0,37.4,19.900000000000002
166,37.4,9.8,59.699999999999996,28.499999999999996
167,37.0,39.5,42.0,43.3
168,37.0,94.1,36.9,27.500000000000004
169,37.1,94.19999999999999,37.0,7.199999999999999
170,37.1,94.3,37.1,3.3000000000000003
171,37.2,91.10000000000001,37.2,23.200000000000003
172,37.3,46.1,37.3,21.6
173,38.5,39.7,39.0,20.3
174,38.5,39.800000000000004,38.5,2.7
175,39.0,40.699999999999996,40.6,23.599999999999998
176,40.5,29.099999999999998,34.0,41.5
177,40.5,40.6,41.5,31.900000000000002
178,39.900000000000006,40.5,33.1,72.39999999999999
179,39.900000000000006,40.2,34.2,6.1
180,39.900000000000006,39.900000000000006,42.9,20.0
181,37.5,35.699999999999996,41.9,37.5
182,37.5,91.60000000000001,34.300000000000004,46.400000000000006
183,37.5,36.5,34.4,73.1
184,36.5,36.4,42.1,18.0
185,36.4,36.3,42.3,87.5
186,36.4,91.7,34.5,2.8000000000000003
187,36.199999999999996,36.199999999999996,42.4,18.4
188,36.199999999999996,91.8,34.599999999999994,47.3
189,36.7,91.9,34.699999999999996,17.7
190,36.9,36.9,42.699999999999996,16.1
191,36.9,36.7,34.8,38.9
192,38.7,36.8,38.7,44.1
193,38.7,92.0,36.7,49.5
194,38.800000000000004,37.7,38.800000000000004,64.8
195,38.800000000000004,36.6,34.1,11.899999999999999
196,37.1,92.10000000000001,33.2,75.7
197,37.1,37.2,33.300000000000004,2.1999999999999997
198,39.2,37.1,33.4,81.3
199,37.1,37.0,75.2,72.3
200,37.6,37.3,39.2,85.7
201,39.2,92.2,33.5,33.0
202,37.6,37.6,33.6,60.6
203,37.6,37.5,39.4,61.5
204,37.6,37.4,39.5,14.099999999999998
205,39.4,92.30000000000001,35.9,55.00000000000001
206,37.4,92.4,33.800000000000004,11.0
207,37.0,92.5,33.900000000000006,45.7
208,35.199999999999996,92.60000000000001,35.099999999999994,37.0
209,35.3,26.8,31.8,7.000000000000001
210,35.3,37.8,35.199999999999996,4.1000000000000005
211,35.3,89.7,35.3,4.8
212,40.400000000000006,90.2,35.4,43.5
213,40.400000000000006,37.9,40.400000000000006,93.7
214,40.699999999999996,38.1,40.699999999999996,44.5
215,40.699999999999996,38.0,35.5,73.7
216,40.699999999999996,38.2,87.5,51.6
217,51.6,90.3,36.1,86.3
218,86.3,90.4,36.199999999999996,27.1
219,86.3,90.5,36.3,94.1
220,83.6,90.60000000000001,36.4,93.2
221,83.6,34.2,36.5,84.0
222,39.7,90.7,36.6,83.6
223,39.7,34.1,38.6,40.400000000000006
224,39.7,34.300000000000004,39.7,70.7
225,38.6,90.8,7.8,41.3
226,39.7,5.0,89.3,10.2
227,34.4,34.4,40.300000000000004,31.6
228,34.4,34.5,40.2,40.1
229,34.4,33.7,7.9,84.1
230,39.800000000000004,33.6,40.0,73.8
231,39.800000000000004,90.9,8.0,21.9
232,40.0,35.099999999999994,39.800000000000004,84.3
233,39.800000000000004,35.0,41.4,78.0
234,39.800000000000004,34.9,40.5,68.7
235,39.300000000000004,34.8,38.4,85.5
236,38.4,34.699999999999996,39.300000000000004,72.1
237,38.4,34.599999999999994,8.1,92.30000000000001
238,35.3,35.3,8.200000000000001,55.1
239,35.3,91.0,8.3,71.5
240,35.4,35.199999999999996,6.6000000000000005,92.2
241,35.5,35.5,6.7,94.8
242,35.5,35.4,6.800000000000001,45.4
243,35.5,35.6,6.9,95.1
244,35.4,34.0,75.1,88.6
245,35.6,33.900000000000006,5.6000000000000005,27.700000000000003
246,36.5,33.800000000000004,87.4,20.599999999999998
247,33.800000000000004,88.6,7.1,36.5
248,36.5,88.7,7.199999999999999,93.30000000000001
249,36.5,5.8999999999999995,96.39999999999999,6.2
250,43.1,88.8,7.3,90.0
251,43.1,88.9,7.3999999999999995,22.5
252,43.1,89.0,7.5,43.1
253,43.1,89.1,7.6,62.7
254,43.1,26.5,87.8,23.799999999999997
255,26.5,89.2,7.7,52.2
256,26.5,6.0,90.5,9.4
257,31.5,16.3,5.8999999999999995,10.9
258,10.9,5.5,79.3,78.5
259,26.6,71.2,6.0,31.5
260,31.5,5.4,6.1,67.2
261,26.6,26.6,49.4,17.8
262,26.6,26.700000000000003,49.3,87.1
263,38.1,15.299999999999999,6.2,37.4
264,38.1,5.3,90.4,38.800000000000004
265,38.1,27.3,88.5,38.1
266,38.1,27.0,49.2,34.9
267,38.1,89.3,6.3,48.8
268,48.8,15.2,58.5,28.799999999999997
269,48.8,89.4,20.8,63.800000000000004
270,63.800000000000004,89.5,6.5,79.10000000000001
271,63.800000000000004,26.900000000000002,49.0,5.800000000000001
272,37.3,25.5,88.3,70.19999999999999
273,26.900000000000002,89.60000000000001,9.9,37.3
274,37.3,25.6,10.0,10.8
275,37.3,6.3,78.7,1.4000000000000001
276,48.1,27.6,48.1,49.8
277,48.1,87.0,10.100000000000001,60.4
278,48.1,45.4,52.900000000000006,74.9
279,27.700000000000003,6.2,77.4,1.0
280,27.700000000000003,27.500000000000004,88.2,12.5
281,27.500000000000004,27.700000000000003,57.4,8.3
282,27.500000000000004,6.1,79.4,45.0
283,27.700000000000003,27.800000000000004,5.7,24.7
284,29.7,87.1,5.800000000000001,11.600000000000001
285,29.7,13.0,58.699999999999996,47.099999999999994
286,29.799999999999997,29.7,96.5,5.8999999999999995
287,31.8,29.799999999999997,57.3,15.7
288,29.799999999999997,31.8,57.699999999999996,1.3
289,29.799999999999997,45.300000000000004,52.7,28.7
290,28.199999999999996,2.7,86.2,8.5
291,26.5,12.9,73.7,28.199999999999996
292,26.5,13.100000000000001,59.3,13.200000000000001
293,28.199999999999996,87.2,9.4,26.5
294,27.0,45.2,81.3,34.699999999999996
295,27.0,45.1,53.0,22.400000000000002
296,27.0,76.3,9.5,27.0
297,27.0,13.8,60.0,0.1
298,27.0,8.7,9.6,0.3
299,13.8,29.299999999999997,9.700000000000001,27.400000000000002
300,27.400000000000002,60.5,8.4,60.8
301,33.2,2.6,89.8,8.4
302,60.3,45.0,81.39999999999999,76.3
303,33.2,33.2,74.7,5.3
304,60.3,33.5,74.8,60.3
305,33.2,30.2,88.1,15.4
306,52.800000000000004,87.3,2.4,63.9
307,52.800000000000004,29.4,2.5,3.4000000000000004
308,52.800000000000004,87.4,2.6,52.800000000000004
309,44.3,87.5,2.7,75.9
310,44.3,87.6,4.2,44.3
311,33.4,28.7,48.5,1.9
312,28.9,33.4,84.3,17.5
313,28.799999999999997,28.799999999999997,57.8,0.6
314,28.9,28.9,48.199999999999996,4.5
315,28.799999999999997,1.7999999999999998,79.60000000000001,6.3
316,10.100000000000001,87.7,9.1,63.6
317,10.100000000000001,87.8,9.2,10.100000000000001
318,31.4,85.9,9.3,6.6000000000000005
319,30.0,11.3,62.3,53.300000000000004
320,31.4,30.099999999999998,57.99999999999999,31.4
321,31.4,30.0,49.1,6.9
322,31.4,76.7,94.39999999999999,26.8
323,30.0,11.5,73.8,8.200000000000001
324,31.900000000000002,32.0,54.2,22.1
325,12.5,11.899999999999999,1.0999999999999999,59.699999999999996
326,12.5,31.900000000000002,48.699999999999996,29.599999999999998
327,11.899999999999999,12.5,73.9,4.9
328,11.1,0.8,78.8,11.1
329,11.1,11.1,59.5,7.7
330,11.1,11.799999999999999,2.1999999999999997,0.0
331,31.7,31.7,92.80000000000001,12.1
332,45.6,14.2,65.10000000000001,47.599999999999994
333,45.6,7.199999999999999,77.3,45.6
334,45.6,60.0,83.39999999999999,21.3
335,25.2,86.1,2.3,7.3
336,14.299999999999999,25.2,88.7,3.6999999999999997
337,14.299999999999999,7.3,0.3,69.8
338,16.3,14.299999999999999,65.4,7.1
339,16.3,28.499999999999996,54.400000000000006,16.900000000000002
340,28.499999999999996,86.2,0.4,16.3
341,32.800000000000004,76.2,0.5,32.800000000000004
342,32.800000000000004,59.9,0.6,42.199999999999996
343,42.199999999999996,47.699999999999996,69.5,81.5
344,42.199999999999996,7.5,38.3,2.0
345,57.9,59.8,0.7000000000000001,68.5
346,57.9,4.0,0.8,18.5
347,59.699999999999996,86.3,0.8999999999999999,57.9
348,59.699999999999996,59.699999999999996,64.2,43.4
349,59.699999999999996,59.599999999999994,83.6,90.10000000000001
350,59.699999999999996,60.9,83.7,91.4
351,32.2,86.4,1.0,20.4
352,24.6,84.0,4.3,32.2
353,24.6,4.1000000000000005,94.89999999999999,24.6
354,32.2,7.3999999999999995,94.8,9.700000000000001
355,37.2,84.1,4.3999999999999995,37.2
356,59.3,84.2,4.5,78.4
357,59.3,60.699999999999996,70.5,60.099999999999994
358,60.699999999999996,59.3,70.39999999999999,59.3
359,59.3,1.0,37.7,69.0
360,59.3,1.2,86.5,62.0
361,62.0,0.8999999999999999,0.1,96.0
362,69.5,69.5,91.8,17.2
363,69.5,70.3,47.4,69.5
364,69.5,69.6,68.89999999999999,93.89999999999999
365,69.0,56.8,0.2,86.7
366,68.7,69.8,68.30000000000001,64.60000000000001
367,68.30000000000001,70.8,69.0,54.400000000000006
368,68.30000000000001,70.6,68.7,48.0
369,67.9,4.3999999999999995,86.6,43.6
370,64.3,56.599999999999994,83.89999999999999,64.3
371,64.3,84.3,3.1,67.9
372,64.3,4.5,3.2,26.6
373,67.9,70.7,91.3,15.299999999999999
374,56.699999999999996,56.699999999999996,3.3000000000000003,82.5
375,59.0,84.39999999999999,3.4000000000000004,71.3
376,59.0,56.39999999999999,83.8,40.6
377,59.0,56.49999999999999,64.0,59.0
378,56.39999999999999,60.3,64.1,34.8
379,52.300000000000004,59.5,52.300000000000004,18.099999999999998
380,52.300000000000004,4.6,37.9,39.7
381,37.9,69.69999999999999,4.0,6.5
382,37.9,82.0,4.1000000000000005,69.89999999999999
383,51.5,4.7,2.8000000000000003,25.3
384,51.5,82.1,18.2,51.5
385,51.5,82.19999999999999,18.3,68.10000000000001
386,57.099999999999994,4.2,90.2,42.4
387,57.099999999999994,60.6,52.400000000000006,57.099999999999994
388,42.4,57.099999999999994,58.4,57.4
389,33.300000000000004,28.1,57.599999999999994,5.5
390,33.300000000000004,4.3,91.2,7.9
391,28.1,82.3,18.4,33.300000000000004
392,23.3,82.39999999999999,19.3,85.2
393,23.3,82.5,9.8,23.3
394,23.3,25.1,2.9000000000000004,12.6
395,23.3,56.89999999999999,3.0,7.3999999999999995
396,25.8,25.0,57.49999999999999,25.8
397,25.8,28.299999999999997,48.0,8.6
398,28.299999999999997,14.399999999999999,59.8,38.6
399,28.299999999999997,13.900000000000002,58.9,14.000000000000002
400,38.6,79.0,91.10000000000001,36.4
401,44.3,14.000000000000002,59.9,25.1
402,44.3,70.1,71.0,52.1
403,25.1,44.3,74.5,3.0
404,27.800000000000004,83.5,18.0,17.1
405,27.800000000000004,83.6,16.7,11.700000000000001
406,26.0,14.499999999999998,65.0,27.800000000000004
407,27.800000000000004,26.1,88.4,34.599999999999994
408,27.800000000000004,26.0,54.300000000000004,20.200000000000003
409,31.7,44.2,55.00000000000001,87.8
410,26.0,25.900000000000002,76.8,14.399999999999999
411,31.7,25.3,88.6,31.7
412,25.900000000000002,26.3,18.099999999999998,12.7
413,31.7,44.4,55.1,27.3
414,44.4,4.9,78.0,18.6
415,44.4,15.1,58.599999999999994,69.19999999999999
416,58.199999999999996,58.3,83.5,61.7
417,58.599999999999994,5.7,20.9,67.80000000000001
418,58.199999999999996,58.199999999999996,72.39999999999999,23.400000000000002
419,42.0,15.4,62.9,67.7
420,42.0,70.19999999999999,21.0,42.0
421,21.099999999999998,5.6000000000000005,79.5,15.5
422,21.099999999999998,83.7,21.099999999999998,14.799999999999999
423,21.099999999999998,16.0,89.1,2.6
424,21.099999999999998,46.800000000000004,52.800000000000004,56.3
425,46.7,46.7,54.6,5.2
426,49.1,4.8,79.10000000000001,1.5
427,46.7,83.8,21.8,49.1
428,49.1,46.9,52.5,90.4
429,49.1,14.6,59.599999999999994,35.3
430,35.3,83.89999999999999,21.9,81.8
431,35.3,14.7,22.0,30.099999999999998
432,33.6,25.7,54.1,33.6
433,33.6,52.5,87.1,88.9
434,64.4,25.8,87.9,29.5
435,64.4,14.799999999999999,74.1,64.4
436,53.900000000000006,16.1,74.0,94.39999999999999
437,53.900000000000006,27.400000000000002,53.900000000000006,78.9
438,46.2,27.1,53.7,13.3
439,34.4,27.200000000000003,88.0,15.1
440,34.4,46.2,20.7,56.39999999999999
441,34.4,84.8,19.400000000000002,34.4
442,34.4,46.6,52.6,54.0
443,30.7,14.899999999999999,62.2,30.7
444,30.7,5.2,89.9,1.7999999999999998
445,30.7,5.1,93.0,0.4
446,37.9,5.800000000000001,90.60000000000001,39.6
447,39.6,46.5,55.900000000000006,61.0
448,39.6,46.400000000000006,13.3,37.9
449,55.900000000000006,3.4000000000000004,89.4,56.89999999999999
450,56.89999999999999,84.89999999999999,13.4,19.8
451,56.89999999999999,85.0,13.5,73.0
452,53.800000000000004,29.2,76.2,69.39999999999999
453,62.1,9.0,77.10000000000001,25.900000000000002
454,53.800000000000004,27.900000000000002,53.800000000000004,73.6
455,28.000000000000004,52.300000000000004,87.2,62.1
456,44.0,28.000000000000004,57.9,15.8
457,40.300000000000004,9.6,62.4,4.0
458,28.000000000000004,85.1,19.900000000000002,44.0
459,40.300000000000004,40.300000000000004,75.8,14.6
460,40.300000000000004,3.8,86.1,0.7000000000000001
461,40.1,40.400000000000006,75.4,40.699999999999996
462,40.1,40.0,75.6,21.4
463,40.1,40.1,75.5,28.1
464,40.0,46.300000000000004,99.4,12.3
465,15.8,9.700000000000001,11.899999999999999,88.8
466,15.8,15.6,12.0,18.8
467,15.8,15.8,12.1,46.7
468,34.5,48.9,70.89999999999999,13.0
469,34.5,15.5,62.5,34.5
470,34.5,59.0,64.3,67.60000000000001
471,34.5,58.9,12.2,11.4
472,52.6,8.9,62.6,0.5
473,12.9,58.099999999999994,64.60000000000001,10.299999999999999
474,13.0,52.6,76.9,19.0
475,13.100000000000001,85.2,12.9,12.4
476,13.100000000000001,85.3,13.0,9.9
477,13.100000000000001,85.39999999999999,13.100000000000001,12.2
478,15.9,24.3,84.89999999999999,85.1
479,52.300000000000004,15.9,13.200000000000001,54.7
480,58.699999999999996,58.699999999999996,11.200000000000001,64.7
481,58.699999999999996,85.5,11.3,52.300000000000004
482,64.2,9.1,95.1,66.5
483,64.2,64.2,80.7,12.8
484,64.2,55.7,73.3,78.10000000000001
485,62.0,74.0,52.0,45.1
486,52.0,15.7,95.0,2.5
487,47.9,68.0,62.0,12.0
488,44.6,17.0,65.9,47.9
489,47.9,85.6,11.700000000000001,44.6
490,47.9,85.7,11.799999999999999,35.6
491,51.7,74.5,51.7,22.2
492,51.800000000000004,74.4,51.800000000000004,25.2
493,52.0,17.299999999999997,73.2,91.60000000000001
494,52.1,74.3,51.9,80.4
495,63.7,74.2,50.1,52.0
496,63.7,74.6,52.1,26.400000000000002
497,63.7,16.900000000000002,83.2,63.7
498,65.8,17.4,65.8,71.2
499,66.9,74.7,61.7,71.0
500,66.9,18.8,83.3,91.3
501,66.9,76.4,11.600000000000001,66.9
502,66.9,77.0,61.8,48.6
503,66.9,76.1,60.3,47.4
504,75.5,76.0,50.4,75.5
505,75.5,77.2,50.3,94.69999999999999
506,75.5,77.10000000000001,50.5,83.7
507,62.3,62.2,16.5,42.1
508,62.3,19.0,67.9,55.800000000000004
509,62.3,62.3,58.099999999999994,84.39999999999999
510,62.4,62.4,71.5,52.6
511,62.4,88.2,12.5,76.7
512,62.4,63.1,72.1,83.0
513,60.5,56.2,12.3,77.5
514,60.5,73.4,50.2,51.0
515,60.5,73.1,60.5,44.4
516,61.9,73.2,61.9,26.700000000000003
517,65.2,88.4,12.4,78.60000000000001
518,70.0,55.60000000000001,70.7,70.89999999999999
519,70.0,8.4,65.2,80.2
520,70.0,78.0,67.7,70.0
521,70.0,18.9,67.4,91.0
522,70.0,72.89999999999999,99.8,65.4
523,67.4,88.5,11.4,81.10000000000001
524,72.89999999999999,77.7,60.6,67.10000000000001
525,67.10000000000001,58.8,58.199999999999996,83.3
526,58.8,61.1,99.7,86.8
527,58.8,92.7,11.5,19.3
528,68.60000000000001,71.39999999999999,47.9,40.2
529,68.60000000000001,57.99999999999999,84.0,82.89999999999999
530,68.60000000000001,68.60000000000001,98.4,67.30000000000001
531,71.6,71.7,68.60000000000001,86.2
532,68.60000000000001,1.7000000000000002,86.4,2.4
533,57.3,71.6,98.5,9.8
534,57.3,57.3,70.1,38.7
535,57.3,12.8,98.6,21.5
536,57.3,72.5,68.8,22.8
537,47.5,68.8,47.5,16.7
538,57.8,72.3,47.599999999999994,57.8
539,57.8,3.1,86.3,22.6
540,57.8,3.0,98.8,78.2
541,57.49999999999999,57.199999999999996,70.6,62.9
542,62.9,57.49999999999999,70.8,53.5
543,57.49999999999999,2.9000000000000004,38.0,28.9
544,57.4,72.39999999999999,97.6,61.3
545,57.4,71.3,47.3,52.400000000000006
546,71.1,57.4,72.6,26.200000000000003
547,71.1,72.2,97.7,80.30000000000001
548,72.3,72.8,71.1,45.2
549,72.6,60.199999999999996,72.3,91.2
550,72.3,72.6,97.3,35.5
551,72.3,66.9,97.2,97.1
552,66.8,66.8,99.0,50.3
553,66.8,2.1,79.7,53.0
554,53.0,9.5,73.5,18.2
555,45.7,71.8,68.5,11.3
556,29.9,45.7,99.1,2.3
557,45.6,1.6,98.9,28.000000000000004
558,45.6,29.9,76.6,18.7
559,39.1,45.6,55.60000000000001,32.5
560,39.1,61.0,97.5,66.10000000000001
561,39.1,1.0999999999999999,97.39999999999999,39.1
562,39.1,8.3,62.8,0.2
563,39.1,10.6,97.1,15.6
564,59.099999999999994,1.5,77.9,59.099999999999994
565,59.199999999999996,59.199999999999996,58.3,93.8
566,71.89999999999999,71.89999999999999,97.0,66.8
567,71.89999999999999,73.7,84.1,81.2
568,72.0,72.0,98.7,69.1
569,72.0,11.0,11.1,63.1
570,63.5,66.7,97.89999999999999,75.4
571,48.699999999999996,66.60000000000001,12.6,63.5
572,54.900000000000006,10.5,59.199999999999996,39.4
573,54.900000000000006,67.2,47.699999999999996,48.699999999999996
574,54.900000000000006,44.9,54.900000000000006,85.6
575,54.900000000000006,10.9,62.7,96.5
576,54.900000000000006,44.6,74.6,62.2
577,62.2,44.7,13.8,93.10000000000001
578,52.900000000000006,44.800000000000004,69.69999999999999,52.900000000000006
579,47.5,99.1,15.299999999999999,76.6
580,47.599999999999994,47.5,69.6,28.599999999999998
581,47.599999999999994,81.0,19.5,22.3
582,47.5,47.599999999999994,69.89999999999999,39.900000000000006
583,22.3,69.89999999999999,98.0,24.2
584,47.599999999999994,11.700000000000001,59.099999999999994,2.9000000000000004
585,13.5,11.600000000000001,59.0,1.6
586,11.700000000000001,60.8,72.2,13.700000000000001
587,13.5,81.10000000000001,12.7,13.5
588,13.5,0.2,77.2,9.3
589,13.5,28.4,54.0,11.200000000000001
590,9.3,6.6000000000000005,12.8,3.8
591,16.5,6.4,78.10000000000001,29.299999999999997
592,16.5,6.5,77.8,1.0999999999999999
593,29.299999999999997,6.7,77.7,16.5
594,49.6,49.6,96.7,20.8
595,54.50000000000001,49.5,86.7,63.0
596,54.800000000000004,47.199999999999996,69.8,87.7
597,63.0,47.099999999999994,54.50000000000001,67.0
598,61.199999999999996,44.5,54.800000000000004,92.80000000000001
599,61.199999999999996,48.5,98.2,79.4
600,61.199999999999996,99.3,13.600000000000001,61.199999999999996
601,65.10000000000001,47.8,96.8,65.10000000000001
602,65.10000000000001,48.699999999999996,96.89999999999999,52.7
603,65.10000000000001,48.6,86.8,70.39999999999999
604,52.7,70.5,78.4,25.4
605,51.300000000000004,79.3,51.300000000000004,13.100000000000001
606,51.300000000000004,0.3,13.700000000000001,94.19999999999999
607,46.800000000000004,12.0,98.1,3.1
608,46.800000000000004,10.4,95.39999999999999,69.6
609,58.699999999999996,70.39999999999999,46.800000000000004,36.9
610,67.80000000000001,79.2,67.80000000000001,50.6
611,67.80000000000001,70.0,47.0,58.699999999999996
612,72.1,72.1,95.5,6.800000000000001
613,73.5,77.4,95.6,21.099999999999998
614,73.5,73.5,67.60000000000001,77.2
615,73.5,77.3,95.7,42.9
616,73.5,99.2,19.6,31.1
617,68.89999999999999,67.10000000000001,69.19999999999999,4.3
618,67.10000000000001,67.0,96.2,97.5
619,67.30000000000001,68.89999999999999,46.5,87.6
620,67.30000000000001,66.4,46.6,46.2
621,53.800000000000004,67.30000000000001,46.7,74.2
622,53.800000000000004,1.3,96.3,53.800000000000004
623,53.800000000000004,1.4000000000000001,79.2,34.0
624,45.5,66.5,47.099999999999994,82.6
625,45.5,2.0,95.89999999999999,45.5
